"provincia	poblacion	codigopostalid	lat	lon	"
"Madrid	Galapagar	28292	-4.003986000	40.578376090	"
"Madrid	Galapagar	28400	-4.003986000	40.578376090	"
"Madrid	Galapagar	28420	-4.003986000	40.578376090	"
"Madrid	Garganta de los Montes	28739	-3.687258080	40.921737210	"
"Madrid	Garganta de los Montes	28743	-3.687258080	40.921737210	"
"Madrid	Gargantilla del Lozoya y Pinilla de Buitrago	28739	-3.718271660	40.964977120	"
"Madrid	Gascones	28737	-3.642330830	41.018735370	"
"Madrid	Getafe	28901	-3.729352360	40.304037540	"
"Madrid	Getafe	28902	-3.729352360	40.304037540	"
"Madrid	Getafe	28903	-3.729352360	40.304037540	"
"Madrid	Getafe	28904	-3.729352360	40.304037540	"
"Madrid	Getafe	28905	-3.729352360	40.304037540	"
"Madrid	Getafe	28906	-3.729352360	40.304037540	"
"Madrid	Getafe	28907	-3.729352360	40.304037540	"
"Madrid	Getafe	28909	-3.729352360	40.304037540	"
"Madrid	GriÃ±Ã³n	28971	-3.849595760	40.214143260	"
"Madrid	Guadalix de la Sierra	28794	-3.691349140	40.785173100	"
"Madrid	Guadarrama	28430	-4.086696750	40.673506070	"
"Madrid	Guadarrama	28440	-4.086696750	40.673506070	"
"Madrid	Guadarrama	28480	-4.086696750	40.673506070	"
"Madrid	La Hiruela	28191	-3.453561220	41.080607080	"
"Madrid	Horcajo de la Sierra-Aoslos	28755	-3.585714930	41.065545840	"
"Madrid	Horcajuelo de la Sierra	28191	-3.545930920	41.060371900	"
"Madrid	Hoyo de Manzanares	28240	-3.906762360	40.622367540	"
"Madrid	Hoyo de Manzanares	28248	-3.906762360	40.622367540	"
"Madrid	Humanes de Madrid	28970	-3.828447380	40.250252550	"
"Madrid	LeganÃ©s	28911	-3.766555570	40.331743820	"
"Madrid	LeganÃ©s	28912	-3.766555570	40.331743820	"
"Madrid	LeganÃ©s	28913	-3.766555570	40.331743820	"
"Madrid	LeganÃ©s	28914	-3.766555570	40.331743820	"
"Madrid	LeganÃ©s	28915	-3.766555570	40.331743820	"
"Madrid	LeganÃ©s	28916	-3.766555570	40.331743820	"
"Madrid	LeganÃ©s	28917	-3.766555570	40.331743820	"
"Madrid	LeganÃ©s	28918	-3.766555570	40.331743820	"
"Madrid	LeganÃ©s	28919	-3.766555570	40.331743820	"
"Madrid	Loeches	28890	-3.410141670	40.384598940	"
